contig	genus
NODE_79_length_28248_cov_13.776540	Alcyoneusvirus
NODE_80_length_27154_cov_3.087457	Hopescreekvirus
NODE_81_length_27123_cov_2.721184	Derbicusvirus
NODE_83_length_26598_cov_5.694496	Gelderlandvirus
NODE_84_length_26428_cov_2.834414	Cymopoleiavirus
NODE_85_length_26186_cov_4.763691	Jiaodavirus
NODE_86_length_25874_cov_3.802975	Slopekvirus
NODE_87_length_25530_cov_2.915486	Thornevirus
NODE_89_length_24921_cov_4.518419	Jiaodavirus
NODE_90_length_24809_cov_4.749333	Kanaloavirus
NODE_91_length_24750_cov_4.020085	Potamoivirus
NODE_92_length_24738_cov_6.908885	Bristolvirus
NODE_93_length_24662_cov_2.886983	Seoulvirus
NODE_94_length_24492_cov_3.794819	Slopekvirus
NODE_96_length_24096_cov_2.647685	Derbicusvirus
NODE_97_length_23774_cov_3.052068	Erskinevirus
NODE_98_length_23494_cov_6.943897	Bristolvirus
NODE_99_length_23108_cov_2.736650	Machinavirus
NODE_100_length_22745_cov_8.536712	Fipvunavirus
NODE_102_length_22588_cov_2.789864	Shalavirus
NODE_103_length_22217_cov_2.808095	Shalavirus
NODE_104_length_22160_cov_3.677222	Slopekvirus
NODE_105_length_21864_cov_3.842129	Slopekvirus
NODE_106_length_21836_cov_3.740600	Matervirus
NODE_107_length_21765_cov_2.760341	Seoulvirus
NODE_108_length_21407_cov_2.735200	Wellingtonvirus
NODE_109_length_21271_cov_3.766780	Slopekvirus
NODE_110_length_21080_cov_3.451605	Eldridgevirus
NODE_111_length_21076_cov_3.912944	Bequatrovirus
NODE_112_length_20910_cov_5.211508	Bequatrovirus
NODE_113_length_20780_cov_3.833341	Tequintavirus
NODE_114_length_20715_cov_2.687948	Thornevirus
NODE_115_length_20691_cov_4.453819	Potamoivirus
NODE_116_length_20461_cov_3.614035	Incheonvirus
NODE_117_length_20337_cov_2.754709	Wellingtonvirus
NODE_118_length_20322_cov_3.566290	Mosigvirus
NODE_119_length_20232_cov_4.191059	Schizotequatrovirus
NODE_120_length_20122_cov_5.835850	Kayvirus
NODE_121_length_20084_cov_3.194718	Mazuvirus
NODE_123_length_19920_cov_3.315429	Hopescreekvirus
NODE_124_length_19902_cov_2.766413	Machinavirus
NODE_126_length_19685_cov_3.720632	Siminovitchvirus
NODE_127_length_19567_cov_3.743337	Kuttervirus
NODE_128_length_19508_cov_6.812780	Bristolvirus
NODE_129_length_19500_cov_3.241245	Mazuvirus
NODE_130_length_19445_cov_2.741723	Thornevirus
NODE_131_length_19338_cov_3.551055	Mydovirus
NODE_132_length_19252_cov_6.787623	Bristolvirus
NODE_133_length_19163_cov_4.763188	Kanaloavirus
NODE_134_length_19138_cov_3.581879	Moonbeamvirus
NODE_135_length_19133_cov_2.722088	Wellingtonvirus
NODE_136_length_19039_cov_3.470660	Slashvirus
NODE_137_length_18726_cov_4.552461	Jiaodavirus
NODE_138_length_18657_cov_7.575583	Fletchervirus
NODE_140_length_18388_cov_2.973981	Machinavirus
NODE_141_length_18199_cov_3.480985	Chalconvirus
NODE_142_length_18115_cov_4.297287	Neptunevirus
NODE_143_length_18054_cov_3.189622	Nitunavirus
NODE_144_length_17884_cov_2.729317	Tsarbombavirus
NODE_145_length_17773_cov_3.985721	Kochikohdavirus
NODE_146_length_17769_cov_3.773287	Tsarbombavirus
NODE_148_length_17375_cov_3.556755	Incheonvirus
NODE_149_length_17344_cov_3.082307	Slashvirus
NODE_150_length_17324_cov_3.171927	Siminovitchvirus
NODE_151_length_17313_cov_4.618959	Jiaodavirus
NODE_152_length_17182_cov_4.237053	Jiaodavirus
NODE_154_length_16935_cov_5.060367	Gaprivervirus
NODE_155_length_16748_cov_3.648416	Tegunavirus
NODE_156_length_16728_cov_3.140287	Kuttervirus
NODE_157_length_16675_cov_2.824850	Seoulvirus
NODE_158_length_16444_cov_3.703033	Caeruleovirus
NODE_159_length_16423_cov_4.576124	Gaprivervirus
NODE_161_length_16314_cov_5.030383	Kochikohdavirus
NODE_162_length_16290_cov_3.482415	Tegunavirus
NODE_163_length_16271_cov_3.172731	Erskinevirus
NODE_164_length_16204_cov_2.508205	Derbicusvirus
NODE_165_length_16201_cov_2.839713	Machinavirus
NODE_166_length_16074_cov_2.542106	Tulanevirus
NODE_167_length_16013_cov_5.335380	Wphvirus
NODE_169_length_15479_cov_4.028332	Moonbeamvirus
NODE_170_length_15454_cov_2.627833	Machinavirus
NODE_171_length_15401_cov_3.171250	Chiangmaivirus
NODE_172_length_15293_cov_3.567594	Mydovirus
NODE_173_length_15081_cov_2.954545	Gaprivervirus
NODE_174_length_15079_cov_6.748203	Bequatrovirus
NODE_175_length_15061_cov_3.575037	Moonbeamvirus
NODE_176_length_14943_cov_2.616470	Wellingtonvirus
NODE_177_length_14902_cov_3.763723	Caeruleovirus
NODE_178_length_14722_cov_3.428649	Kuttervirus
NODE_179_length_14590_cov_8.787754	Kayvirus
NODE_180_length_14581_cov_2.746661	Machinavirus
NODE_181_length_14557_cov_3.279410	Kuttervirus
NODE_182_length_14379_cov_3.983664	Schizotequatrovirus
NODE_184_length_14227_cov_4.145851	Emdodecavirus
NODE_185_length_14226_cov_3.994425	Emdodecavirus
NODE_186_length_14086_cov_3.533462	Chalconvirus
NODE_188_length_13982_cov_3.228118	Chiangmaivirus
NODE_189_length_13939_cov_3.351772	Chalconvirus
NODE_192_length_13866_cov_3.559264	Tegunavirus
NODE_193_length_13833_cov_3.477718	Usarudivirus
NODE_194_length_13787_cov_2.651835	Thornevirus
NODE_195_length_13643_cov_2.986974	Seoulvirus
NODE_197_length_13458_cov_18.278147	Claudivirus
NODE_198_length_13458_cov_2.843244	Tsarbombavirus
NODE_199_length_13397_cov_8.951057	Kayvirus
NODE_200_length_13344_cov_2.817443	Wellingtonvirus
NODE_201_length_13310_cov_2.579404	Schiekvirus
NODE_202_length_13221_cov_2.787711	Shalavirus
NODE_203_length_13177_cov_3.291267	Erskinevirus
NODE_204_length_13159_cov_5.605693	Kayvirus
NODE_205_length_13118_cov_3.030927	Erskinevirus
NODE_206_length_13116_cov_3.925044	Saclayvirus
NODE_207_length_13058_cov_2.964777	Thornevirus
NODE_208_length_12935_cov_3.732065	Matervirus
NODE_209_length_12902_cov_4.211100	Neptunevirus
NODE_210_length_12876_cov_14.148350	Alcyoneusvirus
NODE_211_length_12861_cov_3.680697	Kuttervirus
NODE_212_length_12847_cov_2.978893	Erskinevirus
NODE_213_length_12783_cov_5.413105	Felixounavirus
NODE_214_length_12778_cov_5.429537	Dhakavirus
NODE_215_length_12753_cov_3.002048	Seoulvirus
NODE_216_length_12730_cov_2.696647	Mooglevirus
NODE_217_length_12710_cov_3.241565	Tegunavirus
NODE_218_length_12691_cov_3.979503	Slopekvirus
NODE_219_length_12652_cov_3.209494	Kuttervirus
NODE_220_length_12647_cov_5.132862	Gaprivervirus
NODE_221_length_12645_cov_4.106275	Nereusvirus
NODE_222_length_12642_cov_4.269008	Nereusvirus
NODE_223_length_12625_cov_3.684726	Tegunavirus
NODE_224_length_12591_cov_4.516672	Gaprivervirus
NODE_225_length_12505_cov_5.562490	Gelderlandvirus
NODE_226_length_12465_cov_2.821998	Derbicusvirus
NODE_227_length_12452_cov_2.973300	Machinavirus
NODE_228_length_12320_cov_4.754749	Neptunevirus
NODE_229_length_12303_cov_2.929131	Chiangmaivirus
NODE_230_length_12292_cov_5.545313	Dhakavirus
NODE_231_length_12248_cov_3.580743	Moonbeamvirus
NODE_232_length_12220_cov_3.336786	Nitunavirus
NODE_233_length_12193_cov_2.504449	Tsarbombavirus
NODE_235_length_12093_cov_3.384449	Eldridgevirus
NODE_236_length_11930_cov_4.147368	Nereusvirus
NODE_238_length_11907_cov_2.671701	Cymopoleiavirus
NODE_239_length_11893_cov_2.896858	Seoulvirus
NODE_240_length_11856_cov_5.775612	Gaprivervirus
NODE_241_length_11852_cov_3.159447	Slashvirus
NODE_242_length_11839_cov_3.218007	Kuttervirus
NODE_243_length_11764_cov_3.215475	Machinavirus
NODE_245_length_11668_cov_3.192198	Erskinevirus
NODE_246_length_11614_cov_4.548923	Potamoivirus
NODE_247_length_11576_cov_2.710876	Machinavirus
NODE_249_length_11539_cov_4.070968	Saclayvirus
NODE_251_length_11477_cov_4.038435	Matervirus
NODE_252_length_11422_cov_5.409255	Dhakavirus
NODE_253_length_11419_cov_3.384196	Mydovirus
NODE_254_length_11419_cov_2.944914	Shalavirus
NODE_255_length_11396_cov_2.898598	Machinavirus
NODE_257_length_11389_cov_2.313746	Libanvirus
NODE_259_length_11336_cov_3.771474	Slopekvirus
NODE_260_length_11330_cov_2.989268	Shalavirus
NODE_261_length_11288_cov_2.888721	Slashvirus
NODE_262_length_11189_cov_3.137147	Erskinevirus
NODE_263_length_11166_cov_4.615876	Dhakavirus
NODE_264_length_11132_cov_4.045139	Potamoivirus
NODE_265_length_11121_cov_5.583680	Wphvirus
NODE_266_length_11116_cov_2.956333	Chiangmaivirus
NODE_267_length_11077_cov_4.091272	Nereusvirus
NODE_268_length_11021_cov_4.394583	Neptunevirus
NODE_269_length_10964_cov_2.511046	Libanvirus
NODE_270_length_10942_cov_2.683476	Erskinevirus
NODE_271_length_10931_cov_4.947591	Gelderlandvirus
NODE_272_length_10832_cov_19.050571	Claudivirus
NODE_273_length_10808_cov_2.796057	Seoulvirus
NODE_274_length_10778_cov_4.754919	Tequintavirus
NODE_275_length_10724_cov_3.264223	Siminovitchvirus
NODE_276_length_10722_cov_3.012562	Machinavirus
NODE_277_length_10701_cov_5.101071	Gelderlandvirus
NODE_278_length_10688_cov_2.859588	Alisovirus
NODE_279_length_10659_cov_2.552622	Wellingtonvirus
NODE_280_length_10644_cov_3.372084	Eldridgevirus
NODE_281_length_10635_cov_3.629962	Slopekvirus
NODE_282_length_10604_cov_5.352640	Gelderlandvirus
NODE_284_length_10535_cov_2.986641	Cymopoleiavirus
NODE_285_length_10470_cov_3.308593	Mazuvirus
NODE_286_length_10454_cov_2.970574	Erskinevirus
NODE_287_length_10432_cov_3.154380	Machinavirus
NODE_288_length_10398_cov_3.071449	Pseudotevenvirus
NODE_289_length_10338_cov_3.893514	Emdodecavirus
NODE_290_length_10336_cov_5.965957	Wphvirus
NODE_291_length_10300_cov_6.360371	Bristolvirus
NODE_292_length_10280_cov_3.127237	Seoulvirus
NODE_293_length_10268_cov_4.198668	Nereusvirus
NODE_294_length_10235_cov_2.695481	Libanvirus
NODE_295_length_10188_cov_3.823942	Jiaodavirus
NODE_296_length_10171_cov_4.092724	Bequatrovirus
NODE_298_length_10136_cov_2.858347	Tulanevirus
NODE_299_length_10064_cov_2.787591	Wellingtonvirus
NODE_301_length_10060_cov_2.466767	Derbicusvirus
NODE_302_length_10043_cov_3.723568	Caeruleovirus
NODE_303_length_10035_cov_3.681964	Felixounavirus
NODE_304_length_10004_cov_2.641069	Tsarbombavirus
NODE_305_length_9997_cov_2.982599	Erskinevirus
NODE_306_length_9973_cov_2.847449	Machinavirus
NODE_307_length_9950_cov_3.367863	Kuttervirus
NODE_308_length_9927_cov_4.261345	Cymopoleiavirus
NODE_309_length_9926_cov_3.814203	Kochikohdavirus
NODE_310_length_9920_cov_2.585707	Derbicusvirus
NODE_311_length_9909_cov_3.268114	Chalconvirus
NODE_313_length_9829_cov_5.998772	Gelderlandvirus
NODE_314_length_9819_cov_3.306125	Moonvirus
NODE_315_length_9817_cov_3.117394	Gaprivervirus
NODE_316_length_9753_cov_2.653124	Machinavirus
NODE_317_length_9747_cov_4.598019	Kanaloavirus
NODE_318_length_9714_cov_3.425199	Moonvirus
NODE_319_length_9673_cov_2.532335	Tulanevirus
NODE_320_length_9631_cov_3.092314	Erskinevirus
NODE_321_length_9601_cov_3.199455	Chiangmaivirus
NODE_322_length_9596_cov_8.428571	Kayvirus
NODE_323_length_9582_cov_3.016165	Tulanevirus
NODE_324_length_9557_cov_2.529047	Libanvirus
NODE_325_length_9556_cov_2.703715	Machinavirus
NODE_326_length_9550_cov_3.665719	Chalconvirus
NODE_328_length_9509_cov_2.722551	Siminovitchvirus
NODE_329_length_9508_cov_3.187242	Erskinevirus
NODE_330_length_9507_cov_3.218578	Nitunavirus
NODE_331_length_9498_cov_3.166790	Nitunavirus
NODE_332_length_9478_cov_3.286639	Moonvirus
NODE_333_length_9474_cov_4.044591	Potamoivirus
NODE_334_length_9472_cov_3.110120	Usarudivirus
NODE_335_length_9429_cov_2.605718	Fukuivirus
NODE_336_length_9426_cov_3.671433	Siminovitchvirus
NODE_337_length_9380_cov_2.752493	Tsarbombavirus
NODE_338_length_9374_cov_2.589763	Triavirus
NODE_339_length_9356_cov_4.430491	Felixounavirus
NODE_340_length_9347_cov_2.497848	Biseptimavirus
NODE_341_length_9320_cov_2.306422	Fukuivirus
NODE_342_length_9301_cov_2.874973	Wellingtonvirus
NODE_343_length_9274_cov_2.669595	Tulanevirus
NODE_344_length_9271_cov_2.633789	Cymopoleiavirus
NODE_345_length_9257_cov_3.967724	Moonvirus
NODE_346_length_9249_cov_2.747444	Pseudotevenvirus
NODE_347_length_9239_cov_2.699042	Wellingtonvirus
NODE_348_length_9222_cov_4.340351	Neptunevirus
NODE_349_length_9155_cov_4.312747	Jiaodavirus
NODE_350_length_9149_cov_2.964152	Schiekvirus
NODE_351_length_9136_cov_2.626253	Schiekvirus
NODE_352_length_9107_cov_2.758838	Tsarbombavirus
NODE_353_length_9058_cov_2.427413	Seunavirus
NODE_354_length_9018_cov_2.498159	Fukuivirus
NODE_355_length_8994_cov_5.638886	Kochikohdavirus
NODE_356_length_8980_cov_3.887619	Caeruleovirus
NODE_357_length_8950_cov_2.884092	Chiangmaivirus
NODE_358_length_8938_cov_5.233480	Dhakavirus
NODE_359_length_8926_cov_2.717506	Schiekvirus
NODE_360_length_8923_cov_2.295332	Libanvirus
NODE_361_length_8909_cov_3.295911	Moonvirus
NODE_362_length_8898_cov_2.542802	Libanvirus
NODE_363_length_8860_cov_3.202499	Hopescreekvirus
NODE_364_length_8815_cov_2.250000	Pacinivirus
NODE_365_length_8809_cov_3.881654	Emdodecavirus
NODE_366_length_8808_cov_2.706729	Wellingtonvirus
NODE_367_length_8797_cov_2.630634	Shalavirus
NODE_368_length_8705_cov_3.192832	Pseudotevenvirus
NODE_370_length_8641_cov_3.303983	Kuttervirus
NODE_371_length_8618_cov_2.986103	Seoulvirus
NODE_372_length_8615_cov_2.739603	Machinavirus
NODE_374_length_8605_cov_4.397193	Dhakavirus
NODE_375_length_8604_cov_2.938940	Caeruleovirus
NODE_376_length_8585_cov_2.740563	Machinavirus
NODE_377_length_8584_cov_3.320084	Erskinevirus
NODE_378_length_8556_cov_2.735561	Alisovirus
NODE_380_length_8512_cov_13.818730	Alcyoneusvirus
NODE_382_length_8464_cov_3.549530	Neptunevirus
NODE_383_length_8464_cov_2.953502	Mosigvirus
NODE_384_length_8425_cov_3.129630	Chiangmaivirus
NODE_385_length_8424_cov_3.549528	Moonbeamvirus
NODE_386_length_8419_cov_3.030368	Machinavirus
NODE_387_length_8414_cov_4.419787	Caeruleovirus
NODE_388_length_8412_cov_4.246141	Wphvirus
NODE_390_length_8396_cov_5.550054	Dhakavirus
NODE_393_length_8322_cov_2.895125	Machinavirus
NODE_395_length_8306_cov_3.089807	Machinavirus
NODE_396_length_8276_cov_2.468556	Seunavirus
NODE_397_length_8264_cov_3.980631	Kuttervirus
NODE_398_length_8260_cov_2.877636	Mosigvirus
NODE_399_length_8254_cov_5.754848	Dhakavirus
NODE_400_length_8253_cov_5.202488	Dhakavirus
NODE_401_length_8253_cov_3.751647	Potamoivirus
NODE_402_length_8244_cov_4.621321	Jiaodavirus
NODE_403_length_8234_cov_2.664873	Seunavirus
NODE_404_length_8231_cov_3.270181	Nitunavirus
NODE_405_length_8219_cov_3.550220	Kuttervirus
NODE_406_length_8204_cov_2.894343	Chiangmaivirus
NODE_408_length_8165_cov_3.390875	Mazuvirus
NODE_409_length_8157_cov_2.749815	Wellingtonvirus
NODE_410_length_8152_cov_2.535877	Machinavirus
NODE_412_length_8122_cov_2.582125	Libanvirus
NODE_413_length_8114_cov_3.031145	Chiangmaivirus
NODE_414_length_8104_cov_3.500186	Mazuvirus
NODE_415_length_8101_cov_2.754164	Machinavirus
NODE_416_length_8081_cov_3.043110	Thornevirus
NODE_418_length_8068_cov_2.806689	Tulanevirus
NODE_419_length_8060_cov_2.633604	Chiangmaivirus
NODE_420_length_8028_cov_4.297755	Wphvirus
NODE_421_length_8017_cov_3.025496	Wellingtonvirus
NODE_422_length_8008_cov_2.992078	Shalavirus
NODE_423_length_7925_cov_4.119695	Slopekvirus
NODE_424_length_7921_cov_3.649123	Moonvirus
NODE_425_length_7906_cov_4.840657	Charybdisvirus
NODE_426_length_7896_cov_3.512690	Nereusvirus
NODE_428_length_7804_cov_3.380307	Mazuvirus
NODE_429_length_7785_cov_3.128202	Thornevirus
NODE_430_length_7778_cov_2.715784	Cymopoleiavirus
NODE_431_length_7772_cov_2.663341	Wphvirus
NODE_432_length_7756_cov_2.837683	Seoulvirus
NODE_433_length_7728_cov_3.838785	Jiaodavirus
NODE_434_length_7693_cov_2.891333	Moonvirus
NODE_436_length_7683_cov_2.406529	Seunavirus
NODE_437_length_7676_cov_3.028474	Mosigvirus
NODE_438_length_7665_cov_2.643627	Machinavirus
NODE_439_length_7656_cov_2.420076	Sherbrookevirus
NODE_440_length_7652_cov_3.820061	Eldridgevirus
NODE_441_length_7644_cov_3.270128	Eldridgevirus
NODE_442_length_7633_cov_2.598971	Machinavirus
NODE_444_length_7622_cov_8.211973	Wphvirus
NODE_446_length_7593_cov_2.810427	Machinavirus
NODE_447_length_7586_cov_5.045147	Jiaodavirus
NODE_448_length_7545_cov_2.904139	Machinavirus
NODE_449_length_7534_cov_2.592726	Derbicusvirus
NODE_450_length_7474_cov_2.451813	Thornevirus
NODE_451_length_7471_cov_16.344660	Tequatrovirus
NODE_452_length_7460_cov_2.576772	Chiangmaivirus
NODE_453_length_7455_cov_3.944054	Slopekvirus
NODE_454_length_7453_cov_2.746418	Thornevirus
NODE_455_length_7421_cov_2.589465	Sokavirus
NODE_456_length_7343_cov_3.702525	Siminovitchvirus
NODE_457_length_7335_cov_3.133104	Chiangmaivirus
NODE_458_length_7332_cov_1.800742	Friunavirus
NODE_459_length_7325_cov_1.798487	Bixzunavirus
NODE_460_length_7298_cov_2.447190	Jesfedecavirus
NODE_461_length_7280_cov_2.955294	Machinavirus
NODE_462_length_7264_cov_2.697739	Moonvirus
NODE_464_length_7255_cov_3.095278	Thornevirus
NODE_465_length_7254_cov_2.453396	Derbicusvirus
NODE_466_length_7253_cov_2.774243	Kochikohdavirus
NODE_467_length_7203_cov_2.569950	Tsarbombavirus
NODE_468_length_7184_cov_2.986955	Machinavirus
NODE_469_length_7174_cov_3.037927	Hopescreekvirus
NODE_470_length_7166_cov_3.594994	Tequintavirus
NODE_471_length_7135_cov_2.964124	Schiekvirus
NODE_472_length_7092_cov_4.818673	Wphvirus
NODE_473_length_7087_cov_3.032281	Shalavirus
NODE_474_length_7087_cov_2.810438	Seoulvirus
NODE_475_length_7084_cov_4.225352	Nereusvirus
NODE_476_length_7063_cov_2.340896	Chiangmaivirus
NODE_477_length_7055_cov_2.899286	Wellingtonvirus
NODE_479_length_7019_cov_2.802412	Tulanevirus
NODE_480_length_7005_cov_2.630647	Sokavirus
NODE_481_length_6998_cov_2.071727	Libanvirus
NODE_482_length_6997_cov_2.780899	Seoulvirus
NODE_483_length_6995_cov_3.154467	Machinavirus
NODE_484_length_6973_cov_3.017491	Chiangmaivirus
NODE_486_length_6966_cov_2.863117	Erskinevirus
NODE_488_length_6946_cov_3.008562	Caeruleovirus
NODE_489_length_6923_cov_4.487041	Caeruleovirus
NODE_490_length_6911_cov_13.494457	Alcyoneusvirus
NODE_491_length_6907_cov_5.862960	Dhakavirus
NODE_492_length_6901_cov_2.756354	Tulanevirus
NODE_493_length_6892_cov_5.086441	Gelderlandvirus
NODE_494_length_6884_cov_2.525846	Tsarbombavirus
NODE_495_length_6882_cov_2.301011	Derbicusvirus
NODE_496_length_6880_cov_4.890256	Gaprivervirus
NODE_497_length_6880_cov_3.179634	Erskinevirus
NODE_498_length_6870_cov_2.700514	Seunavirus
NODE_499_length_6868_cov_2.714223	Thornevirus
NODE_500_length_6865_cov_2.314831	Unahavirus
NODE_501_length_6863_cov_3.744565	Potamoivirus
NODE_502_length_6851_cov_3.639935	Neptunevirus
NODE_503_length_6849_cov_3.830586	Schizotequatrovirus
NODE_505_length_6802_cov_3.866459	Nereusvirus
NODE_506_length_6788_cov_2.175850	Sokavirus
NODE_507_length_6785_cov_2.794205	Machinavirus
NODE_508_length_6784_cov_2.888245	Cymopoleiavirus
NODE_509_length_6773_cov_2.896100	Gelderlandvirus
NODE_510_length_6756_cov_2.225787	Pacinivirus
NODE_511_length_6721_cov_2.555956	Seunavirus
NODE_512_length_6718_cov_3.316074	Tegunavirus
NODE_513_length_6713_cov_2.545509	Ficleduovirus
NODE_514_length_6713_cov_2.263142	Derbicusvirus
NODE_515_length_6707_cov_3.170174	Moonvirus
NODE_516_length_6705_cov_4.252782	Nereusvirus
NODE_517_length_6699_cov_2.716887	Caeruleovirus
NODE_518_length_6695_cov_3.872892	Wphvirus
NODE_520_length_6687_cov_1.885706	Vequintavirus
NODE_521_length_6660_cov_3.390008	Erskinevirus
NODE_522_length_6652_cov_4.647112	Dhakavirus
NODE_523_length_6649_cov_2.942675	Chiangmaivirus
NODE_524_length_6645_cov_8.120334	Fipvunavirus
NODE_525_length_6637_cov_2.942115	Mosigvirus
NODE_526_length_6622_cov_2.513020	Seunavirus
NODE_527_length_6621_cov_2.731039	Tulanevirus
NODE_529_length_6598_cov_3.078404	Machinavirus
NODE_530_length_6586_cov_2.557495	Derbicusvirus
NODE_531_length_6570_cov_2.839754	Pseudotevenvirus
NODE_532_length_6529_cov_4.173000	Potamoivirus
NODE_533_length_6525_cov_4.793045	Potamoivirus
NODE_536_length_6513_cov_4.381078	Nereusvirus
NODE_537_length_6506_cov_2.588281	Fukuivirus
NODE_538_length_6504_cov_2.912390	Alisovirus
NODE_540_length_6492_cov_2.549946	Wellingtonvirus
NODE_541_length_6477_cov_3.292432	Moonvirus
NODE_542_length_6474_cov_2.676429	Seunavirus
NODE_543_length_6472_cov_17.009818	Tequatrovirus
NODE_544_length_6470_cov_2.704599	Derbicusvirus
NODE_545_length_6451_cov_4.085522	Tequintavirus
NODE_546_length_6446_cov_2.291817	Fukuivirus
NODE_547_length_6429_cov_2.659084	Seoulvirus
NODE_548_length_6424_cov_16.914272	Tequatrovirus
NODE_549_length_6389_cov_4.931797	Gelderlandvirus
NODE_550_length_6385_cov_4.215324	Moonvirus
NODE_552_length_6380_cov_2.769960	Seoulvirus
NODE_553_length_6369_cov_2.455179	Fukuivirus
NODE_554_length_6360_cov_2.879144	Pseudotevenvirus
NODE_555_length_6345_cov_3.203816	Shalavirus
NODE_556_length_6345_cov_2.252305	Ficleduovirus
NODE_557_length_6339_cov_7.502546	Bequatrovirus
NODE_558_length_6328_cov_18.551570	Tequatrovirus
NODE_559_length_6322_cov_3.953088	Slopekvirus
NODE_560_length_6319_cov_2.649106	Derbicusvirus
NODE_561_length_6315_cov_3.068371	Pseudotevenvirus
NODE_562_length_6311_cov_2.720428	Cymopoleiavirus
NODE_563_length_6300_cov_3.146677	Machinavirus
NODE_565_length_6284_cov_5.507465	Dhakavirus
NODE_567_length_6278_cov_2.605496	Mosigvirus
NODE_569_length_6245_cov_2.846204	Nitunavirus
NODE_570_length_6240_cov_2.031528	Libanvirus
NODE_571_length_6219_cov_2.847502	Machinavirus
NODE_572_length_6217_cov_2.821973	Nitunavirus
NODE_573_length_6215_cov_3.405032	Chalconvirus
NODE_574_length_6215_cov_2.629870	Chiangmaivirus
NODE_575_length_6195_cov_1.892671	Certrevirus
NODE_576_length_6194_cov_3.011891	Pseudotevenvirus
NODE_577_length_6167_cov_2.412795	Derbicusvirus
